transliteration,arabic_script,arabic_alternates,english_meanings,part_of_speech,dialect,gender,plural,plural_arabic,category,notes,verb_forms
a thousand and one nights,,,a thousand and one nights,expr,,,,,society: arts,,
MS expr: aaclf lylao wa lylao,‫ﺃﻟﻒﻟﻴﻠﹷﺔﻭﹶﻟﻴﻠﹷﺔ‬,,,,,,,,,,
EN v inf: abandon,‫ﻫﹷﺠﹷﺮ‬,‫ﻳﹹﻬﺠﹹﺮ‬ | ‫ﻣﹷﻬﺠﻮﺭ‬ | ‫ﺗﹷﺮﹶﻙ‬ | ‫ﻳﹷﺘﺮﹸﻙ‬ | ‫ﺗﺎﹶﺭﹺﻙ‬ | ‫ﻣﹷﺘﺮﻭﻙ‬,,v p,EG | MS,,,,movement: coming & going,,p: abandoned | pass: abandoned
abandoned,‫ﻣﹷﺘﺮﻭﻙ‬,‫ﻣﹷﺘﺮﻭﻛﹷﺔ‬ | ‫ﻣﹷﺘﺮﻭﻛﻴﻦ‬,abandoned,adj | adj m,MS,m,,,movement: move somebody,,
abandonment,‫ﺗﹷﺮﻙ‬,,abandonment,n | n m,MS,m,,,movement: move somebody,,
abbey,‫ﺩﻳﺮ‬,‫ﺃﺩﻳﹹﺮﹶﺓ‬,abbey,n s | n m,MS,m,abbeys,,spirit: religion,,
abbreviation,,,abbreviation,n s,,,abbreviations,,communication: language,,
abdomen,‫ﺇﺧﺘﹻﺼﺎﹶﺭ‬,,,n m,MS,m,,,,,
EN n s: abdomen,‫ﺑﹷﻄﻦ‬,‫ﺑﹹﻄﻮﻥ‬,,n m,MS,m,abdomens,,people: external parts,,
abhor,‫ﻣﹷﻘﹷﺖ‬,‫ﻳﹹﻤﻘﹹﺖ‬ | ‫ﻛﹻﺮﹺﻩ‬ | ‫ﻳﹻﻜﺮﹶﻩ‬,abhor,v inf | v p,MS,,,,emotion: disgust,,p: abhorred | pass: abhorred
abide,‫ﺑﹷﻘﻰ‬,‫ﻳﹻﺒﻘﻰ‬ | ‫ﺇﺳﺘﹷﺤﻤﹻﻞ‬ | ‫ﻳﹻﺴﺘﹷﺤﻤﹻﻞ‬ | ‫ﻣﹻﺴﺘﹷﺤﻤﹻﻞ‬,abide,v inf | v p,EG,,,,home: residence | character: patience,1) stay | 2) tolerate,p: abided Archaic | p: abided | pass: abided
ability,‫ﻗﹹﺪﺭﹶﺓ‬,‫ﻗﹹﺪﹸﺭﺍﹶﺕ‬,ability,n s | n f,MS,f,abilities,,character: ability,,
able,‫ﻗﹻﺪﹺﺭ‬,‫ﻳﹻﻘﺪﹶﺭ‬ | ‫ﻗﺎﹶﺩﹺﺭ‬ | ‫ﻗﺎﹶﺩﺭﹶﺓ‬ | ‫ﻋﺎﹶﺭﹺﻑ‬ | ‫ﻋﺎﹶﺭﹺﻓﹷﺔ‬ | ‫ﻋﺎﹶﺭﻓﻴﻦ‬ | ‫ﻋﹻﺮﹺﻑ‬ | ‫ﻳﹻﻌﺮﹶﻑ‬ | ‫ﻣﹷﻌﺮﻭﻑ‬,,v p | part m,MS,m,,,neg: unable | character: ability,1) EN adj: able | 2) EN v inf: (be) able (to),
abnormal,‫ﻣﹻﺶﻃﹷﺒﻴﻌﻲ‬,‫ﻣﹻﺶﻃﹷﺒﻴﻌﻴﻴﹷﺔ‬ | ‫ﻣﹻﺶﻃﹷﺒﻴﻌﻴﻴﹻﻦ‬,abnormal,adj | adj m,EG,m,,,qualities: special,,
abode,‫ﻣﹷﻨﺰﹺﻝ‬,‫ﻣﹷﻨﺎﹶﺯﹺﻝ‬,abode,n s | n m,EG,m,abodes,,home: residence,,
abolish,‫ﻟﹷﻐﻰ‬,‫ﻳﹻﻠﻐﻲ‬ | ‫ﻻﹶﻏﻲ‬ | ‫ﻣﹷﻠﻐﻲ‬,abolish,v inf | v p,MS,,,,society: law,,p: abolished | pass: abolished
abort,‫ﺇﺟﻬﺎﹶﺽ‬,‫ﻳﹻﺠﻬﹻﺾ‬,abort,v inf | vi p,MS,,,,health: women,,p: aborted | pass: aborted
abortion,‫ﺇﺟﻬﺎﹶﺽ‬,,abortion,n s | n m,MS,m,abortions,,health: women,,
about,‫ﺣﹷﻮﺍﹶﻟﻲ‬,‫ﺗﹷﻘﺮﻳﺒﺎﹰ‬ | ‫ﺇﺯﺍﹶء‬ | ‫ﻋﹷﻦ‬ | ‫ﻓﻲ‬ | ‫ﻋﹷﻠﻰ‬ | ‫ﺑﹻﺨﹹﺼﻮﺹ‬ | ‫ﻣﹻﻦ‬,about,adv | prep,MS,,,,quantity: accuracy | intellect: issue,1) approximately | 2) concerning,
about to,,,about to,expr,,,,,time: relative time,,
above,‫ﻋﹷﻠﻰﻭﹶﺷﹷﻚ‬,‫ﻋﹷﻠﻰﻭﹶﺷﹻﻚ‬ | ‫ﺃﻋﻠﻰ‬ | ‫ﻓﻮﻕ‬,,expr m | prep | adv,MS | EG,m,,,movement: position,1) EN prep: above | 2) EN adv: above,
abrasive,‫ﻣﹷﻘﺸﻮﻁ‬,‫ﻣﹷﻘﺸﻮﻃﹷﺔ‬ | ‫ﻣﹷﻘﺸﻮﻃﻴﻦ‬,abrasive,adj | adj m,MS,m,,,qualities: texture,,
abroad,‫ﺧﺎﹶﺭﹺﺝ‬,‫ﺑﹷﺮﹼﺍﹶ‬ | ‫ﺑﹷﺮﹼﺍﹶﻧﹻﻴﻴﹷﺔ‬ | ‫ﺑﹷﺮﹼﹶﻩ‬,,n m | adj m | adv,MS | EG,m,,,society: nationality,1) EN n invar: abroad | 2) EN adv: abroad,
