name of product                                                                                                     , price    , how many in stock, description                                                                                                                                                                                                                                                                                                                         , type       , features
Man Look Expert Masculine Body Fragrance Midnight Millionaire 150 Ml                                                , LE 99.00 ,                 0, "Midnight Millionaire Fragranceembodies the spirit of luxury and achievement. With its bold and luxurious blend of fresh, spicy, and warm scents, it is perfect for the man who lives life with passion and wants to leave an unforgettable impression wherever he goes. The luxurious and bold character of the fragrance makes"   , body splash, Male Grooming; Man Look Expert
Man Look Expert Masculine Body Fragrance Code Fusion 150 Ml                                                         , LE 99.00 ,               315, "Code Fusion Fragrance expresses a bold yet refined blend, seamlessly combining the best of both worlds. It is perfect for the man who feels as comfortable in a sleek suit as he does in natural surroundings. The unique combination of fresh, spicy, and warm scents makes it a statement of confidence, elegance, and individ"  , body splash, Male Grooming; Man Look Expert
Man Look Expert Masculine Body Fragrance Platinum Guru 150 Ml                                                       , LE 99.00 ,               226, "Platinum Guru Perfume is strong and bold, embodying the spirit of victory and confidence. With a dynamic blend of fresh, spicy, and warm notes, it creates an exciting and distinctive fragrance. It is perfect for the man who wants to showcase his strength and leave a lasting impression. The modern and elegant character"   , body splash, Male Grooming; Man Look Expert
Man Look Expert Masculine Body Fragrance Ultra Allure 150 Ml                                                        , LE 99.00 ,                 0, "The Ultra Allure body fragrance captures the essence of bold masculinity and irresistible allure. With a powerful blend of fresh, spicy, and alluring notes, it delivers an unforgettable scent that exudes confidence anThe Ultra Allure body fragrance captures the essence of bold masculinity and irresistible allure. With"   , body splash, Male Grooming; Man Look Expert
Man Look Expert Masculine Body Fragrance Boss Signature 150 Ml                                                      , LE 99.00 ,                 0, "Boss Signature Perfume expresses the spirit of the modern man—dynamic, driven, and elegant. It is a fragrance that exudes confidence and sophistication, making it an ideal choice for those who want to leave a lasting impression. Fragrance Notes: Cedarwood, Lavender, Clove, Apple, Freesia"                                  , body splash, Male Grooming; Man Look Expert
Man Look Expert Masculine Body Fragrance Mystic Blue 150 Ml                                                         , LE 99.00 ,                 0, "Mystic Blue Perfume is a modern fragrance that embodies confidence and elegance. With its balanced blend of fresh, spicy, and woody notes, it creates a scent that combines freshness and depth. It is perfect for the man who wants to leave a lasting impression with a fragrance that blends sophistication and versatility."   , body splash, Male Grooming; Man Look Expert
Man Look Expert Hair Styling Gel Replacement With Argan Oil and Vitamin B5 ( 180 Ml )                               , LE 76.50 ,                41, "Man Look Expert Hair Styling Gel Replacement which offers hair a natural and healthy look with a long lasting hold. Easy to use onto your hair keeping your hands free for maximum convenience Provides outstanding long lasting hold and styling support Argan Oil which is loaded with essential fatty acids and vitamin E, is"  , gel        , Male Grooming; Man Look Expert
Man Look Expert Beard Natural Oil 50 Ml                                                                             , LE 108.00,                 0, Man Look Expert natural beard oil rich in olive &amp; jojoba oils to provide skin and hair with intensive moisturization. Rich in Tea Tree Oil to remove dandruff flakes. Rich in Vitamin E to improve skin and hair health. Gives your beard a shiny look and leaves it with a fresh scent. Contains Jojoba Oil and the finest     , oil        , Male Grooming; Man Look Expert
Man Look Expert Beard Wash 100 Ml                                                                                   , LE 90.00 ,                42, "Man Look Expert beard wash thoroughly cleanses and softens your beard as well as helping it grow healthy and fast. Rich in Keratin, Panthenol and Aloe Vera Gives your beard softness and a cool hydrated look."                                                                                                                   ,            , Male Grooming; Man Look Expert
Man Look Expert Natural Hair Styling Gel 250 Gm                                                                     , LE 76.50 ,                49, "Man Look Expert Natural Hair Styling Gel provides an outstanding and long-lasting natural hold under highly humid conditions and adds nutrients to your hair. It also moisturizes the hair and gives it a soft and shiny look, as it is rich in the following natural ingredients: - Panthenol increases hair flexibility, resil"  , gel        , Male Grooming; Man Look Expert
Man Look Expert Oil Replacement For Beard Care 100 Ml                                                               , LE 90.00 ,                43, Man Look Expert beard oil replacement keeps your beard shiny and hydrated as well as helps it grow healthy and fast. Rich in Keratin and Panthenol that moisturizes the beard and increases its shine.                                                                                                                              , oil        , Male Grooming; Man Look Expert
Man look After Shave Balsam With Aloe Vera For Sensitive Skin 125 Gm ( Special Offer )                              , LE 72.00 ,                50, - Rich with Aloe Vera to impart a soothing and moisturizing effect. - Contains natural emollients and moisturizers that restore natural skin oils lost during shaving.                                                                                                                                                              , shaving    , Male Grooming; Man Look
Man Look Expert Hair Food Wax For All Hair Types 50 Gm                                                              , LE 49.50 ,                43, "Man Look Expert Hair Wax with its unique and effective formula gives hair long-lasting strong hold,shine and easy styling. With Argan, Coconut and Jojoba oils,that reduce hair loss and strengthens hair."                                                                                                                        ,            , Male Grooming; Man Look Expert
Man Look Hair Gel Wet Look 250 Gm ( Special Offer )                                                                 , LE 40.50 ,                 5, "ManLook Gel is especially fromulated to give you a unique wet look. The ManLook formula is alcohol-free, anti-damage and enriched with Aloe Vera &amp; Glycerin for healthy hair and superb look."                                                                                                                                 , gel        , Male Grooming; Man Look
Man Look Shaving Cream With Aloe Vera 40 Gm ( Special Offer )                                                       , LE 27.00 ,                35, Man Look softens the hair and moisturizes the skin with its rich concentrated lather to give you a smooth shave with no irritation to the skin.                                                                                                                                                                                     , shaving    , Male Grooming; Man Look
Man look After Shave Balsam With Alum For irritated skin 125 Gm ( Special Offer )                                   , LE 72.00 ,                 1, - Rich with Alum to tighten skin. - Rich with Aloe Vera to impart a soothing and moisturizing effect. - Rich with menthol to leave your skin feeling cool and refreshed. - Contains natural moisturizers to restore the skin moisturization lost during shaving.                                                                    , shaving    , Male Grooming; Man Look
Man look After Shave Balsam With Mint For All Skin Types 125 Gm ( Special Offer )                                   , LE 72.00 ,                46, - Rich with Double Mint to leave your skin feeling cool and refreshed. Rich with Aloe Vera to impart a soothing and moisturizing effect. - Contains natural emollients and moisturizers that restore natural skin oils lost during shaving.                                                                                         , shaving    , Male Grooming; Man Look
Man Look Hair Gel Curly Look 250 Gm ( Special Offer )                                                               , LE 40.50 ,                53, "ManLook Gel is especially fromulated to give you a unique Curly look. The ManLook formula is alcohol-free, anti-damage and enriched with Aloe Vera &amp; Glycerin for healthy hair and superb look."                                                                                                                               , gel        , Male Grooming; Man Look
Man Look Shaving Cream With Allantoin 40 Gm ( Special Offer )                                                       , LE 27.00 ,                 0, Man Look softens the hair and moisturizes the skin with its rich concentrated lather to give you a smooth shave with no irritation to the skin.                                                                                                                                                                                     , shaving    , Male Grooming; Man Look
